"no","en","ja","example_en","example_ja"
"1460","weekly","週ごとの","You can set up weekly maintenance windows for your Amazon RDS instances.","Amazon RDSインスタンスの週ごとのメンテナンスウィンドウを設定できます。"
"1461","top-level","最上位の","You can create top-level folders in Amazon S3 to organize your data.","Amazon S3で最上位フォルダを作成して、データを整理できます。"
"1462","mix","混ぜる","You can mix different instance types in an Amazon EC2 Auto Scaling group.","Amazon EC2 Auto Scalingグループで異なるインスタンスタイプを混ぜることができます。"
"1463","segment","セグメント","AWS X-Ray helps you analyze and debug your applications by providing insights into individual segments of your application.","AWS X-Rayは、アプリケーションの個々のセグメントに関する洞察を提供することで、アプリケーションの分析とデバッグを支援します。"
"1464","convenient","便利な","Amazon RDS provides a convenient way to manage relational databases in the cloud.","Amazon RDSは、クラウドでリレーショナルデータベースを管理する便利な方法を提供します。"
"1465","mention","言及する","The AWS documentation mentions the importance of securing your S3 buckets.","AWSのドキュメントでは、S3バケットを保護する重要性に言及しています。"
"1466","test","テストする","It is important to test your AWS infrastructure before deploying it to production.","本番環境にデプロイする前に、AWSインフラストラクチャをテストすることが重要です。"
"1467","metastore","メタストア","AWS Glue Data Catalog serves as a metastore for your data stored in Amazon S3.","AWS Glue Data Catalogは、Amazon S3に格納されたデータのメタストアとして機能します。"
"1468","cost-effective","コスト効果的な","Using AWS Spot Instances is a cost-effective way to run your workloads.","AWSスポットインスタンスを使用することは、ワークロードを実行するためのコスト効果的な方法です。"
"1469","membership","メンバーシップ","You can manage the membership of your AWS Organizations using the AWS Management Console.","AWS Management Consoleを使用して、AWS Organizationsのメンバーシップを管理できます。"
"1470","uptime","稼働時間","Amazon RDS provides high uptime for your databases with its Multi-AZ deployment feature.","Amazon RDSは、Multi-AZデプロイメント機能を使用して、データベースの高い稼働時間を提供します。"
"1471","fip","フェデラル情報処理標準","FIPS compliance is required for certain government applications.","特定の政府アプリケーションではFIPS準拠が必要です。"
"1472","raise","引き上げる","We need to raise the performance of our AWS resources to meet the increasing demand.","増加する需要に対応するために、AWSリソースのパフォーマンスを引き上げる必要があります。"
"1473","transparent","透明な","The billing process for AWS services is transparent and easy to understand.","AWSサービスの課金プロセスは透明で理解しやすいです。"
"1474","stale","古い","Stale data in the cache can cause performance issues.","キャッシュ内の古いデータがパフォーマンスの問題を引き起こすことがあります。"
"1475","instance-level","インスタンスレベル","Instance-level monitoring provides detailed information about the performance of our EC2 instances.","インスタンスレベルの監視は、EC2インスタンスのパフォーマンスに関する詳細な情報を提供します。"
"1476","chunk","チャンク","We can process large files in S3 by dividing them into smaller chunks.","S3の大きなファイルを小さなチャンクに分割して処理することができます。"
"1477","ssrs","SQL Server Reporting Services","You can use AWS RDS to host your SSRS databases.","AWS RDSを使用してSSRSデータベースをホストできます。"
"1478","suppressor","抑制器","You can use a noise suppressor to reduce the noise in your AWS environment.","AWS環境のノイズを減らすためにノイズ抑制器を使用できます。"
"1479","netweaver","SAP NetWeaver","You can deploy SAP NetWeaver on AWS to improve your business processes.","ビジネスプロセスを改善するために、AWS上にSAP NetWeaverをデプロイできます。"
"1480","mary","メアリー（人名）","Mary is an AWS certified solutions architect.","メアリーはAWS認定ソリューションアーキテクトです。"
"1481","encoding","エンコーディング","You can use AWS Lambda to perform encoding tasks on your data.","データのエンコーディングタスクを実行するために、AWS Lambdaを使用できます。"
"1482","central","中央の","AWS provides central management of resources and services.","AWSはリソースとサービスの中央管理を提供します。"
"1483","cross-origin","クロスオリジン","Cross-origin resource sharing is a security feature in AWS.","クロスオリジンリソース共有はAWSのセキュリティ機能です。"
"1484","openssl","OpenSSL","You can use OpenSSL to create a self-signed certificate for your AWS service.","AWSサービス用の自己署名証明書を作成するためにOpenSSLを使用できます。"
"1485","breach","違反","Any breach of AWS security policies may result in account suspension.","AWSのセキュリティポリシーに対する違反はアカウントの停止につながる可能性があります。"
"1486","unnecessary","不必要な","Remove unnecessary resources to optimize your AWS infrastructure.","AWSインフラを最適化するために不要なリソースを削除してください。"
"1487","integrity","整合性","Data integrity is crucial for maintaining the reliability of your AWS services.","データの整合性はAWSサービスの信頼性を維持するために重要です。"
"1488","pin","固定する","You can pin an EC2 instance to a specific availability zone.","特定のアベイラビリティーゾーンにEC2インスタンスを固定することができます。"
"1489","hbase","分散型データベース","Amazon EMR supports running HBase on top of Hadoop.","Amazon EMRはHadoop上でHBaseを実行することをサポートしています。"
"1490","corrective","修正の","You can take corrective actions based on AWS Trusted Advisor recommendations.","AWS Trusted Advisorの推奨事項に基づいて修正措置を講じることができます。"
"1491","occurrence","発生","AWS CloudWatch monitors and logs the occurrence of events in your infrastructure.","AWS CloudWatchは、インフラストラクチャ内のイベントの発生を監視し、ログを記録します。"
"1492","autoscaling","オートスケーリング","Amazon EC2 Auto Scaling helps you maintain the desired number of instances.","Amazon EC2 Auto Scalingは、必要なインスタンス数を維持するのに役立ちます。"
"1493","zonal","ゾーン","Amazon RDS provides zonal redundancy to ensure high availability.","Amazon RDSは、高可用性を確保するためにゾーン冗長性を提供します。"
"1494","pump","ポンプ","The data pump feature in AWS DMS helps in migrating data between databases.","AWS DMSのデータポンプ機能は、データベース間でデータを移行するのに役立ちます。"
"1495","versioning-enabled","バージョニングが有効","Versioning-enabled buckets in Amazon S3 allow you to preserve multiple versions of an object.","Amazon S3のバージョニングが有効なバケットでは、オブジェクトの複数のバージョンを保持できます。"
"1496","at-rest","静止状態","Amazon S3 provides server-side encryption for data at-rest.","Amazon S3は、静止状態のデータに対してサーバーサイド暗号化を提供します。"
"1497","confidential","機密の","It is important to protect confidential information stored in AWS.","AWSに保存された機密情報を保護することが重要です。"
"1498","controlled","制御された","Access to AWS resources should be controlled using IAM policies.","AWSリソースへのアクセスは、IAMポリシーを使用して制御する必要があります。"
"1499","thousand","千","AWS Lambda can handle thousands of concurrent executions.","AWS Lambdaは、数千の同時実行を処理できます。"
"1500","fee","料金","There is no additional fee for using Amazon S3 Transfer Acceleration.","Amazon S3 Transfer Accelerationの使用に追加料金はかかりません。"
"1501","preference","設定","You can set your preferences for AWS Management Console in the user settings.","ユーザー設定でAWS Management Consoleの設定を行うことができます。"
"1502","chapter","章","The AWS documentation is divided into chapters for easy navigation.","AWSドキュメントは、簡単なナビゲーションのために章に分かれています。"
"1503","interpret","解釈する","The AWS Lambda function interprets the incoming data and processes it accordingly.","AWS Lambda関数は、受信したデータを解釈し、それに応じて処理を行います。"
"1504","rebase","リベースする","You can rebase your branch to include the latest changes from the main branch in AWS CodeCommit.","AWS CodeCommitでメインブランチからの最新の変更を含めるために、ブランチをリベースすることができます。"
"1505","recur","繰り返す","You can set up a recurring AWS Lambda function to run every hour.","毎時実行される繰り返しのAWS Lambda関数を設定することができます。"
"1506","qualify","資格を与える","The AWS Certified Solutions Architect exam qualifies you as an expert in AWS services.","AWS認定ソリューションアーキテクト試験は、AWSサービスのエキスパートとして資格を与えます。"
"1507","alter","変更する","You can alter the configuration of your Amazon RDS instance to improve performance.","パフォーマンスを向上させるために、Amazon RDSインスタンスの設定を変更することができます。"
"1508","declare","宣言する","You need to declare the AWS SDK in your code to use AWS services programmatically.","プログラムでAWSサービスを使用するために、コード内でAWS SDKを宣言する必要があります。"
"1509","catalog","カタログ","AWS Service Catalog helps you manage and organize your AWS resources.","AWS Service Catalogは、AWSリソースを管理・整理するのに役立ちます。"
"1510","wrapper","ラッパー","AWS Lambda function can be used as a wrapper for other AWS services.","AWS Lambda関数は、他のAWSサービスのラッパーとして使用できます。"
"1511","drain","排出","You can use the AWS CLI to drain instances from an Amazon EC2 Auto Scaling group.","Amazon EC2 Auto Scalingグループからインスタンスを排出するために、AWS CLIを使用できます。"
"1512","even","均等","Amazon Route 53 helps to distribute traffic evenly across multiple resources.","Amazon Route 53は、複数のリソース間でトラフィックを均等に分散させるのに役立ちます。"
"1513","acknowledge","認識する","AWS IoT Core requires devices to acknowledge messages before they are considered delivered.","AWS IoT Coreでは、デバイスがメッセージを認識することが、配信されたとみなされる前提条件です。"
"1514","consumption","消費","AWS Cost Explorer helps you monitor and manage your AWS resource consumption.","AWS Cost Explorerは、AWSリソースの消費を監視・管理するのに役立ちます。"
"1515","outline","概要を述べる","The AWS documentation outlines the steps to set up a new EC2 instance.","AWSのドキュメントでは、新しいEC2インスタンスを設定する手順が概説されています。"
"1516","dependency","依存関係","The AWS CloudFormation template includes all the necessary dependencies.","AWS CloudFormationテンプレートには、必要なすべての依存関係が含まれています。"
"1517","presence","存在","The presence of an AWS resource can be checked using the AWS CLI.","AWSリソースの存在は、AWS CLIを使用して確認できます。"
"1518","reject","拒否する","The AWS WAF can be configured to reject requests from specific IP addresses.","AWS WAFは、特定のIPアドレスからのリクエストを拒否するように設定できます。"
"1519","bottom","底","The bottom layer of the AWS architecture is the infrastructure layer.","AWSアーキテクチャの最下層はインフラストラクチャ層です。"
"1520","granularity","粒度","You can adjust the granularity of the monitoring data in Amazon CloudWatch.","Amazon CloudWatchで監視データの粒度を調整することができます。"
"1521","guaranteed","保証された","Amazon EC2 provides guaranteed performance for certain instance types.","Amazon EC2は、特定のインスタンスタイプに対して保証されたパフォーマンスを提供します。"
"1522","ratio","比率","The ratio of read and write requests can be adjusted in Amazon DynamoDB.","Amazon DynamoDBでは、読み取りと書き込みのリクエストの比率を調整することができます。"
"1523","tablet","タブレット","You can access the AWS Management Console from a tablet device.","タブレットデバイスからAWSマネジメントコンソールにアクセスすることができます。"
"1524","blueprint","設計図","You can use AWS CloudFormation to create a blueprint of your infrastructure.","AWS CloudFormationを使用して、インフラストラクチャの設計図を作成することができます。"
"1525","compression","圧縮","You can enable data compression in Amazon Redshift to save storage space.","Amazon Redshiftでデータ圧縮を有効にすることで、ストレージスペースを節約することができます。"
"1526","necessarily","必ずしも","Using AWS does not necessarily guarantee a cost reduction, but it can improve efficiency.","AWSを使用することが必ずしもコスト削減を保証するわけではありませんが、効率は向上することがあります。"
"1527","improved","改善された","The performance of the application has improved since migrating to AWS.","AWSへの移行以降、アプリケーションのパフォーマンスが改善されました。"
"1528","appropriately","適切に","It is important to configure AWS resources appropriately to ensure security.","セキュリティを確保するために、AWSリソースを適切に設定することが重要です。"
"1529","region-specific","地域固有の","Some AWS services have region-specific features that need to be considered when deploying applications.","一部のAWSサービスには、アプリケーションをデプロイする際に考慮する必要がある地域固有の機能があります。"
"1530","exclusive","排他的な","The exclusive use of AWS resources can help ensure the privacy of your data.","AWSリソースの排他的な使用は、データのプライバシーを確保するのに役立ちます。"
"1531","monthly","月次の","You can monitor your AWS usage and costs with the monthly billing report.","月次請求レポートを使用して、AWSの使用状況とコストを監視できます。"
"1532","portal","ポータル","AWS provides a user-friendly portal for managing and monitoring your resources.","AWSは、リソースの管理と監視に使いやすいポータルを提供しています。"
"1533","leverage","活用する","You can leverage AWS services to build a scalable and secure infrastructure for your application"," AWSのサービスを活用して、アプリケーションのためのスケーラブルでセキュアなインフラを構築できます"
"1534","deregistration","登録解除","You need to perform instance deregistration before deleting the load balancer"," ロードバランサーを削除する前にインスタンスの登録解除を行う必要があります"
"1535","shut","シャットダウン","You can shut down your EC2 instance when it is not in use to save costs"," 使用していないときにEC2インスタンスをシャットダウンしてコストを節約できます"
"1536","arrow","矢印","Click the arrow next to the instance ID to view more details"," インスタンスIDの隣の矢印をクリックして詳細を表示します"
"1537","vulnerability","脆弱性","Regularly scanning your AWS resources for vulnerabilities can help you maintain a secure environment"," AWSリソースを定期的に脆弱性スキャンすることで、セキュアな環境を維持できます"
"1538","broken","壊れた","If you find a broken link in the AWS documentation, report it to the support team"," AWSドキュメントの壊れたリンクを見つけた場合は、サポートチームに報告してください"
"1539","omit","省略する","You can omit the optional parameters when creating an AWS resource"," AWSリソースを作成する際に、オプションのパラメータを省略することができます"
"1540","rename","名前を変更する","You can rename your S3 bucket by creating a new one and copying the contents"," 新しいS3バケットを作成し、コンテンツをコピーすることでS3バケットの名前を変更できます"
"1541","pagination","ページネーション","AWS Management Console uses pagination to display a large number of items in a manageable way.","AWS Management Consoleはページネーションを使用して、多数のアイテムを管理しやすい方法で表示します。"
"1542","socket","ソケット","Amazon RDS provides a Unix domain socket for connecting to a PostgreSQL database instance.","Amazon RDSは、PostgreSQLデータベースインスタンスに接続するためのUnixドメインソケットを提供します。"
"1543","regulatory","規制","Amazon Web Services complies with various regulatory requirements to ensure data security and privacy.","Amazon Web Servicesは、データのセキュリティとプライバシーを確保するために、さまざまな規制要件を順守しています。"
"1544","exploration","探査","AWS Glue Data Catalog enables data exploration and discovery for your data lake.","AWS Glue Data Catalogは、データレイクのデータ探査とディスカバリを可能にします。"
"1545","two-way","双方向","Amazon Connect supports two-way SMS messaging for customer engagement.","Amazon Connectは、顧客エンゲージメントのための双方向SMSメッセージングをサポートしています。"
"1546","constrain","制約する","You can constrain the resources used by an AWS Lambda function using resource policies.","リソースポリシーを使用して、AWS Lambda関数で使用されるリソースを制約できます。"
"1547","postgresql-compatible","PostgreSQL互換","Amazon Aurora offers a PostgreSQL-compatible edition for seamless migration of your existing PostgreSQL databases.","Amazon Auroraは、既存のPostgreSQLデータベースのシームレスな移行のために、PostgreSQL互換エディションを提供しています。"
"1548","zero-downtime","ゼロダウンタイム","We achieved zero-downtime deployment by using AWS Elastic Beanstalk.","AWS Elastic Beanstalkを使用してゼロダウンタイムのデプロイメントを実現しました。"
"1549","flash","フラッシュ","Amazon S3 is a good choice for storing and retrieving flash files.","Amazon S3は、フラッシュファイルの保存および取得に適した選択肢です。"
"1550","auditor","監査人","The auditor needs to review the AWS CloudTrail logs for compliance purposes.","監査人は、コンプライアンス目的でAWS CloudTrailログを確認する必要があります。"
"1551","assumable","引き継ぎ可能","The IAM role must be assumable by the AWS service to grant permissions.","IAMロールは、AWSサービスに権限を付与するために引き継ぎ可能である必要があります。"
"1552","restrictive","制限的な","The security group should have restrictive rules to allow only necessary traffic.","セキュリティグループには、必要なトラフィックのみを許可する制限的なルールが必要です。"
"1553","duty","義務","It is the duty of the AWS account administrator to ensure proper access control.","適切なアクセス制御を確保するのは、AWSアカウント管理者の義務です。"
"1554","lowercase","小文字","Make sure that all the bucket names are in lowercase.","すべてのバケット名が小文字であることを確認してください。"
"1555","pause","一時停止","You can pause the AWS Data Pipeline to perform maintenance tasks.","AWS Data Pipelineを一時停止してメンテナンスタスクを実行できます。"
"1556","come","来る","New features are coming to AWS services regularly.","新機能が定期的にAWSサービスに追加されています。"
"1557","zip","圧縮","Please zip the log files before uploading them to the S3 bucket.","ログファイルをS3バケットにアップロードする前に、圧縮してください。"
"1558","proper","適切な","Ensure that you have proper permissions to access the AWS resource.","AWSリソースにアクセスするための適切な権限を持っていることを確認してください。"
"1559","consecutive","連続した","The Lambda function was triggered three consecutive times due to the CloudWatch alarm.","CloudWatchアラームにより、Lambda関数が3回連続でトリガーされました。"
"1560","regularly","定期的に","It is important to regularly monitor and review your AWS usage to optimize costs.","コストを最適化するために、定期的にAWSの使用状況を監視し、レビューすることが重要です。"
"1561","up-to-date","最新の","Keep your AWS SDKs and libraries up-to-date to take advantage of new features and improvements.","新機能や改善を活用するために、AWS SDKやライブラリを最新の状態に保ってください。"
"1562","complexity","複雑さ","Using AWS managed services can help reduce the complexity of your infrastructure.","AWSマネージドサービスを使用することで、インフラの複雑さを軽減することができます。"
"1563","offering","提供","Amazon Web Services offers a wide range of cloud computing services to meet various customer needs.","Amazon Web Servicesは、さまざまな顧客ニーズに対応するための幅広いクラウドコンピューティングサービスを提供しています。"
"1564","deprecation","非推奨","Be aware of the deprecation of certain AWS features and plan for migration to newer alternatives.","特定のAWS機能の非推奨に注意し、新しい代替手段への移行を計画してください。"
"1565","stage","段階","The deployment process consists of several stages.","デプロイメントプロセスはいくつかの段階で構成されています。"
"1566","best-effort","最善の努力","The AWS service provides best-effort performance.","AWSサービスは最善の努力で性能を提供します。"
"1567","overlap","重複","There should be no overlapping IP ranges in the VPC.","VPC内でIP範囲が重複しないようにしてください。"
"1568","predictable","予測可能","The AWS infrastructure ensures predictable performance.","AWSインフラストラクチャは予測可能な性能を確保します。"
"1569","acceptable","許容範囲","The latency of the AWS service is within acceptable limits.","AWSサービスの遅延は許容範囲内です。"
"1570","hands-on","実践的","The AWS training provides hands-on experience with the platform.","AWSトレーニングではプラットフォームの実践的な経験が得られます。"
"1571","powerful","強力な","AWS provides powerful tools and services to help businesses scale and grow.","AWSは、ビジネスの拡大と成長を支援するための強力なツールとサービスを提供しています。"
"1572","bottleneck","ボトルネック","AWS helps to identify and resolve bottlenecks in your application infrastructure.","AWSは、アプリケーションインフラストラクチャのボトルネックを特定し解決するのに役立ちます。"
"1573","heavy","重い","Amazon EC2 instances can handle heavy workloads and traffic.","Amazon EC2インスタンスは、重いワークロードやトラフィックに対処できます。"
"1574","client-server","クライアント-サーバー","AWS provides a variety of client-server architectures to choose from.","AWSは、さまざまなクライアント-サーバーアーキテクチャを選択できます。"
"1575","jmx","Java Management Extensions","AWS SDK for Java includes support for JMX monitoring.","AWS SDK for Javaには、JMXモニタリングのサポートが含まれています。"
"1576","hasnt","持っていない","If the user hasnt set up multi-factor authentication, they should do so for added security.","ユーザーがマルチファクタ認証を設定していない場合、セキュリティを強化するために設定する必要があります。"
"1577","expertise","専門知識","AWS offers a wide range of resources and expertise to help you build and optimize your applications.","AWSは、アプリケーションの構築と最適化を支援するための幅広いリソースと専門知識を提供しています。"
"1578","rapidly","急速に","The number of users on our AWS platform is growing rapidly.","AWSプラットフォームのユーザー数が急速に増えています。"
"1579","high-throughput","高スループット","AWS provides high-throughput data processing solutions for businesses.","AWSはビジネス向けに高スループットのデータ処理ソリューションを提供しています。"
"1580","slash","スラッシュ","Use a slash to separate the folders in the S3 bucket path.","S3バケットのパス内のフォルダを区切るためにスラッシュを使用してください。"
"1581","repeat","繰り返す","To avoid repeat issues, monitor your AWS resources closely.","繰り返しの問題を避けるために、AWSリソースを密接に監視してください。"
"1582","relate","関連する","The AWS support team can help you with issues related to your services.","AWSサポートチームは、サービスに関連する問題を解決するお手伝いをします。"
"1583","redundancy","冗長性","Implement redundancy in your AWS architecture to ensure high availability.","高可用性を確保するために、AWSアーキテクチャに冗長性を実装してください。"
"1584","employee","従業員","All employees should be trained on AWS security best practices.","すべての従業員はAWSセキュリティのベストプラクティスについて研修を受けるべきです。"
"1585","fill","埋める","Please fill in the required information on the AWS form.","AWSフォームに必要な情報を記入してください。"
"1586","telemetry","テレメトリー","AWS IoT provides telemetry data for monitoring the performance of your devices.","AWS IoTはデバイスのパフォーマンス監視のためのテレメトリーデータを提供します。"
"1587","originate","起源がある","The request to access the AWS resource must originate from a trusted IP address.","AWSリソースへのアクセス要求は、信頼できるIPアドレスから発信される必要があります。"
"1588","high-resolution","高解像度","Amazon S3 can store high-resolution images for your application.","Amazon S3はアプリケーションのための高解像度画像を保存できます。"
"1589","symmetric","対称的な","AWS Key Management Service supports both symmetric and asymmetric encryption.","AWSキーマネジメントサービスは、対称暗号化と非対称暗号化の両方をサポートしています。"
"1590","e-commerce","電子商取引","Our e-commerce platform is hosted on AWS for better scalability and performance.","私たちの電子商取引プラットフォームは、より良いスケーラビリティとパフォーマンスのためにAWS上にホストされています。"
"1591","ask","尋ねる","The user asks for help with their AWS account.","ユーザーはAWSアカウントに関する助けを求めます。"
"1592","bulk","一括","We use AWS S3 to store bulk data for our application.","アプリケーションの一括データを保存するために、AWS S3を使用しています。"
"1593","warm-up","ウォームアップ","We perform a warm-up process for our AWS Lambda functions to reduce the cold start time.","AWS Lambda関数のコールドスタート時間を短縮するために、ウォームアッププロセスを実行します。"
"1594","retirement","引退","We received a notification about the retirement of an EC2 instance in our AWS account.","AWSアカウント内のEC2インスタンスの引退に関する通知を受け取りました。"
"1595","descriptive","記述的な","We use descriptive tags for our AWS resources to make it easier to manage and track them.","AWSリソースに記述的なタグを使用して、管理や追跡を容易にします。"
"1596","introduction","導入","We are planning the introduction of AWS services in our company's infrastructure.","会社のインフラにAWSサービスの導入を計画しています。"
"1597","contribute","貢献する","Your feedback will help us to contribute to the improvement of our AWS services.","あなたのフィードバックは、AWSサービスの改善に貢献するのに役立ちます。"
"1598","cicd","継続的インテグレーションと継続的デプロイメント","AWS CodePipeline is a fully managed service that helps you automate your CI/CD process.","AWS CodePipelineは、CI/CDプロセスを自動化するのに役立つ完全に管理されたサービスです。"
"1599","certificate-based","証明書ベースの","AWS Certificate Manager is a service that lets you easily provision, manage, and deploy public and private SSL/TLS certificates for use with AWS services and your internal connected resources.","AWS Certificate Managerは、AWSサービスや内部接続リソースでの使用に適した公開およびプライベートSSL/TLS証明書を簡単にプロビジョニング、管理、デプロイできるサービスです。"
"1600","right","権利","You can manage user rights and permissions using AWS Identity and Access Management (IAM).","AWS Identity and Access Management (IAM)を使用して、ユーザーの権利と権限を管理できます。"
"1601","servicenow","サービスナウ","You can integrate AWS with ServiceNow for better IT service management.","AWSをServiceNowと統合して、より良いITサービス管理を実現できます。"
"1602","intervention","介入","Manual intervention is required to resolve this issue.","この問題を解決するためには手動での介入が必要です。"
"1603","siebel","Siebel","You can migrate your Siebel CRM to AWS for better performance and scalability.","パフォーマンスとスケーラビリティを向上させるために、Siebel CRMをAWSに移行できます。"
"1604","target-tracking","ターゲット追跡","You can use target-tracking scaling policies to automatically adjust the number of instances in your Auto Scaling group.","ターゲット追跡スケーリングポリシーを使用して、Auto Scalingグループ内のインスタンス数を自動的に調整できます。"
"1605","fictional","架空の","The fictional company in the AWS tutorial helps users understand the concepts better.","AWSチュートリアルの架空の会社は、ユーザーが概念をより理解しやすくする。"
"1606","incident","インシデント","AWS provides tools to monitor and respond to incidents in your infrastructure.","AWSは、インフラストラクチャのインシデントを監視し対応するためのツールを提供している。"
"1607","accordingly","それに応じて","Adjust your AWS resources accordingly to optimize performance and cost.","パフォーマンスとコストを最適化するために、それに応じてAWSリソースを調整してください。"
"1608","warning","警告","AWS sends warning notifications when your usage approaches the limit.","使用量が上限に近づくと、AWSは警告通知を送信します。"
"1609","banner","バナー","You can display a banner message on the AWS Management Console for important announcements.","重要なお知らせのために、AWS管理コンソールにバナーメッセージを表示できます。"
"1610","entirely","完全に","The AWS infrastructure is entirely managed by the service provider, allowing you to focus on your applications.","AWSインフラストラクチャはサービスプロバイダーによって完全に管理されており、アプリケーションに集中できます。"
"1611","stability","安定性","AWS provides high stability for its services ensuring minimal downtime for customers","AWSは、顧客のダウンタイムを最小限に抑えるために、サービスの高い安定性を提供します"
"1612","sense","感覚","Developers can use AWS services to sense and respond to events in real-time","開発者はAWSサービスを使用して、リアルタイムでイベントを感知し対応することができます"
"1613","inclusion","包含","AWS promotes the inclusion of diverse perspectives in its development process","AWSは開発プロセスにおいて多様な視点の包含を推進しています"
"1614","unintended","意図しない","Unintended access to AWS resources can be prevented by implementing proper security measures","AWSリソースへの意図しないアクセスは、適切なセキュリティ対策を実施することで防止できます"
"1615","time-series","時系列","Time-series data can be analyzed using AWS services like Amazon Timestream","時系列データは、Amazon TimestreamのようなAWSサービスを使用して分析することができます"
"1616","sign-up","登録","You can sign up for an AWS account to start using its services","AWSのサービスを利用するために、AWSアカウントに登録することができます"
"1617","observe","観察する","We need to observe the performance of the AWS infrastructure to ensure optimal operation.","AWSインフラストラクチャのパフォーマンスを観察して、最適な運用を確保する必要があります。"
"1618","consolidate","統合する","We should consolidate our AWS resources to reduce costs and improve efficiency.","コスト削減と効率向上のために、AWSリソースを統合すべきです。"
"1619","undo","元に戻す","If you accidentally delete an AWS resource, you may not be able to undo the action.","誤ってAWSリソースを削除した場合、その操作を元に戻すことができないかもしれません。"
"1620","anonymous","匿名の","You can use AWS Lambda to create an anonymous function that processes data without revealing the source.","AWS Lambdaを使用して、ソースを明らかにせずにデータを処理する匿名の関数を作成できます。"
"1621","aggregation","集約","We can use AWS Glue to perform data aggregation and transformation for our analytics pipeline.","分析パイプラインのデータ集約と変換には、AWS Glueを使用できます。"
"1622","inadvertently","うっかり","If you inadvertently expose your AWS access keys, you should immediately revoke them and create new ones.","うっかりAWSアクセスキーを公開してしまった場合は、すぐにそれらを無効にし、新しいキーを作成する必要があります。"
"1623","variant","変種","You can use AWS Fargate to run different variants of your containerized applications without managing the underlying infrastructure.","AWS Fargateを使用して、基盤となるインフラストラクチャを管理せずに、コンテナ化されたアプリケーションの異なるバリアントを実行できます。"
"1624","cloudshell","クラウドシェル","AWS CloudShell is a browser-based shell that makes it easy to manage your AWS resources.","AWS CloudShellは、AWSリソースを簡単に管理できるブラウザベースのシェルです。"
"1625","premise","前提","The premise of AWS is to provide scalable and cost-effective cloud computing services.","AWSの前提は、スケーラブルでコスト効果の高いクラウドコンピューティングサービスを提供することです。"
"1626","perspective","視点","From a security perspective, AWS provides various tools and features to protect your data.","セキュリティの視点から、AWSはデータを保護するためのさまざまなツールや機能を提供しています。"
"1627","warm","ウォーム（温かい状態）","AWS Lambda supports warm start for faster function execution.","AWS Lambdaは、より速い関数実行のためにウォームスタートをサポートしています。"
"1628","crawl","クロールする","AWS Glue Crawler is used to crawl data stored in various sources and populate the AWS Glue Data Catalog.","AWS Glue Crawlerは、さまざまなソースに格納されたデータをクロールし、AWS Glue Data Catalogにデータを入力するために使用されます。"
"1629","synchronization","同期","AWS DataSync is a data transfer service that simplifies and accelerates the synchronization of data between on-premises and AWS storage.","AWS DataSyncは、オンプレミスとAWSストレージ間のデータ同期を簡素化および高速化するデータ転送サービスです。"
"1630","executable","実行可能な","You can upload your executable code to AWS Lambda and run it in response to events.","実行可能なコードをAWS Lambdaにアップロードし、イベントに応じて実行できます。"
"1631","toolbar","ツールバー","AWS Management Console has a toolbar at the top for easy access to various services.","AWSマネジメントコンソールの上部には、さまざまなサービスに簡単にアクセスできるツールバーがあります。"
"1632","scrape","スクレイピング","Web scraping is not allowed on AWS without the website owners permission.","ウェブサイトの所有者の許可なしにAWSでウェブスクレイピングを行うことは許可されていません。"
"1633","tib","ティビ","TIB is an abbreviation for terabyte, which is a unit of digital storage capacity.","TIBはテラバイトの略で、デジタルストレージ容量の単位です。"
"1634","first-run","初回実行","This is the first-run of the AWS Lambda function.","これはAWS Lambda関数の初回実行です。"
"1635","multiline","複数行","The multiline log entry is parsed by the AWS CloudWatch Logs agent.","複数行のログエントリはAWS CloudWatch Logsエージェントによって解析されます。"
"1636","discount","割引","AWS offers a discount for reserved instances.","AWSはリザーブドインスタンスに割引を提供しています。"
"1637","onto","～に","You can attach an Elastic IP onto an EC2 instance.","Elastic IPをEC2インスタンスにアタッチすることができます。"
"1638","elliptic","楕円","Amazon Web Services supports elliptic curve cryptography for secure communication.","Amazon Web Servicesは、安全な通信のために楕円曲線暗号をサポートしています。"
"1639","aniam","（おそらくtypo）","Please check the spelling of the word.","単語の綴りを確認してください。"
"1640","facebookcredential","Facebookの認証情報","You can use your Facebook credentials to log in to the application.","アプリケーションにログインするためにFacebookの認証情報を使用できます。"
"1641","accessportal","アクセスポータル","The AWS Management Console is an access portal for managing AWS resources.","AWSマネジメントコンソールは、AWSリソースを管理するためのアクセスポータルです。"
"1642","acommand","コマンド","You can use the AWS CLI to run a command and interact with AWS services.","AWS CLIを使用してコマンドを実行し、AWSサービスとやり取りできます。"
"1643","methodto","方法","There are several methods to deploy your application on AWS.","AWS上にアプリケーションをデプロイする方法はいくつかあります。"
"1644","provideadditional","追加の提供","You can provide additional storage to your EC2 instance by attaching an EBS volume.","EBSボリュームをアタッチすることで、EC2インスタンスに追加のストレージを提供できます。"
"1645","multi-factorauthentication","多要素認証","Enabling multi-factor authentication adds an extra layer of security to your AWS account.","多要素認証を有効にすると、AWSアカウントに追加のセキュリティ層が追加されます。"
"1646","less-common","あまり一般的でない","This feature is less-common in AWS services, but it can be useful in certain situations.","この機能はAWSサービスではあまり一般的ではありませんが、特定の状況では役立ちます。"
